id_trab_oficio,id_trabajador,id_oficio,tarifa_hora_promedio,tarifa_visita,certificaciones
315,156,5,57926,10000,Trabajo en alturas
316,156,8,69953,62137,Trabajo en alturas
317,157,8,93998,20386,Trabajo en alturas
318,158,6,75838,32200,Gasodomésticos básica
319,158,5,43282,32946,
320,158,12,50147,79841,Gasodomésticos básica
321,159,3,62785,45910,Cert. eléctrica RETIE
322,160,6,100310,27123,Gasodomésticos básica
323,160,7,87587,43182,Gasodomésticos básica
324,161,6,56013,38671,
325,162,7,34142,33041,Gasodomésticos básica
326,162,12,216000,144000,
327,163,8,46703,70095,Gasodomésticos básica
328,163,9,80967,27069,
329,163,12,75104,70291,SENA
330,164,11,86317,144000,
331,165,8,86223,29993,Trabajo en alturas
332,165,5,66849,76634,Cert. eléctrica RETIE
333,165,11,216000,73779,Gasodomésticos básica
334,166,8,95841,32364,Trabajo en alturas
335,166,2,49493,28670,Gasodomésticos básica
336,167,5,216000,47938,
337,168,2,98809,61504,SENA
338,168,1,85846,53414,Gasodomésticos básica
339,169,5,77654,43004,Gasodomésticos básica
340,170,6,30070,68808,Cert. eléctrica RETIE
341,170,1,91873,59749,
342,171,3,69892,63840,
343,171,5,47079,68581,Cert. eléctrica RETIE
344,171,8,107189,44352,SENA
345,172,4,43941,68666,Trabajo en alturas
346,172,10,106881,144000,SENA
347,173,12,39814,60567,Cert. eléctrica RETIE
348,173,8,92154,144000,SENA
349,174,1,102154,78431,Trabajo en alturas
350,174,3,216000,49391,
351,175,2,96043,30940,Trabajo en alturas
352,175,8,46899,57104,
353,175,7,54928,46050,Gasodomésticos básica
354,176,3,96752,71076,Gasodomésticos básica
355,177,10,50971,58804,
356,177,5,97213,66383,Trabajo en alturas
357,177,4,58879,37597,Trabajo en alturas
358,178,3,99935,22561,SENA
359,179,3,36752,36318,SENA
360,179,5,30183,61463,Trabajo en alturas
361,180,6,101994,28756,Gasodomésticos básica
362,180,2,68652,23752,
363,181,4,32049,76884,Trabajo en alturas
364,181,5,80067,36865,Trabajo en alturas
365,182,8,56728,72935,Gasodomésticos básica
366,182,4,60372,48436,Cert. eléctrica RETIE
367,183,8,90213,76515,SENA
368,183,2,94293,31823,Cert. eléctrica RETIE
369,184,5,53295,65047,Trabajo en alturas
370,185,2,62145,62278,Gasodomésticos básica
371,185,3,99045,69181,
372,186,7,44422,70033,
373,187,4,112232,71930,
374,187,2,216000,68243,Cert. eléctrica RETIE
375,188,4,103774,73442,SENA
376,189,6,37323,37528,Trabajo en alturas
377,189,8,35836,39447,
378,190,3,15000,29658,Cert. eléctrica RETIE
379,190,1,59607,64853,Gasodomésticos básica
380,190,4,44733,27217,SENA
381,191,5,110700,43625,
382,192,10,86181,59296,SENA
383,193,3,67618,26810,Cert. eléctrica RETIE
384,193,11,116734,37393,
385,193,5,49482,29606,Cert. eléctrica RETIE
386,194,7,92709,27416,Trabajo en alturas
387,194,8,66500,41171,SENA
388,195,7,85552,47128,Trabajo en alturas
389,195,6,73707,62857,SENA
390,196,7,94566,73831,SENA
391,196,9,106148,54533,Trabajo en alturas
392,196,8,58748,35413,Cert. eléctrica RETIE
393,197,4,216000,10000,Trabajo en alturas
394,198,3,77298,76804,SENA
395,198,2,48892,56143,Gasodomésticos básica
396,198,1,59437,29030,
397,199,7,85667,65967,
398,199,1,39669,58923,SENA
399,200,3,40353,20817,Trabajo en alturas
400,201,3,99133,39628,Gasodomésticos básica
401,201,12,74215,62260,
402,201,8,50432,62103,
403,202,9,15000,64558,Gasodomésticos básica
404,202,3,63823,52890,Cert. eléctrica RETIE
405,203,7,42050,28200,SENA
406,203,3,37339,32038,Trabajo en alturas
407,204,12,71050,46548,Gasodomésticos básica
408,205,1,55523,26841,
409,205,6,73970,10000,Cert. eléctrica RETIE
410,206,9,108264,10000,Cert. eléctrica RETIE
411,206,2,56440,22121,SENA
412,207,2,103890,144000,Gasodomésticos básica
413,207,10,15000,40224,
414,208,5,71218,67558,Cert. eléctrica RETIE
415,208,7,216000,26381,Cert. eléctrica RETIE
416,209,12,49685,10000,Gasodomésticos básica
417,209,9,34903,29931,Gasodomésticos básica
418,209,2,112044,67085,SENA
419,210,11,51108,144000,Trabajo en alturas
420,210,12,109788,70373,Cert. eléctrica RETIE
421,211,3,86479,10000,Gasodomésticos básica
422,211,6,110004,29987,Trabajo en alturas
423,211,5,95211,20979,SENA
424,212,9,89612,39372,SENA
425,212,2,105564,25847,
426,213,12,92031,144000,Gasodomésticos básica
427,213,8,48408,57272,Gasodomésticos básica
428,214,6,82551,60611,SENA
429,215,6,216000,64708,Gasodomésticos básica
430,215,9,64449,64731,
431,215,10,114392,71812,SENA
432,216,3,68097,57364,Gasodomésticos básica
433,217,4,90591,42867,Gasodomésticos básica
434,218,11,53628,46014,Gasodomésticos básica
435,218,9,73086,42441,Trabajo en alturas
436,218,8,92419,49791,
437,219,8,71967,59392,Gasodomésticos básica
438,219,3,77381,51025,SENA
439,220,4,119610,36519,SENA
