id_tarifa,id_oficio,ciudad,precio_min,precio_max,fuente
40,4,Barranquilla,128522,166179,Panel mercado sintético 2025
41,5,Barranquilla,163872,201814,Panel mercado sintético 2025
42,6,Barranquilla,158039,226929,Panel mercado sintético 2025
43,7,Barranquilla,79508,83500,Panel mercado sintético 2025
44,8,Barranquilla,267585,864000,Panel mercado sintético 2025
45,9,Barranquilla,97938,184361,Panel mercado sintético 2025
46,10,Barranquilla,138033,398869,Panel mercado sintético 2025
47,11,Barranquilla,117433,171651,Panel mercado sintético 2025
48,12,Barranquilla,149329,154329,Panel mercado sintético 2025
49,1,Cartagena,59620,98788,Panel mercado sintético 2025
50,2,Cartagena,48800,99014,Panel mercado sintético 2025
51,3,Cartagena,50187,131638,Panel mercado sintético 2025
52,4,Cartagena,104942,166600,Panel mercado sintético 2025
53,5,Cartagena,102914,173658,Panel mercado sintético 2025
54,6,Cartagena,125518,172778,Panel mercado sintético 2025
55,7,Cartagena,35000,250507,Panel mercado sintético 2025
56,8,Cartagena,540000,545000,Panel mercado sintético 2025
57,9,Cartagena,126057,181663,Panel mercado sintético 2025
58,10,Cartagena,159073,398787,Panel mercado sintético 2025
59,11,Cartagena,79410,137482,Panel mercado sintético 2025
60,12,Cartagena,85229,179535,Panel mercado sintético 2025
61,1,Bucaramanga,83708,128692,Panel mercado sintético 2025
62,2,Bucaramanga,66632,252000,Panel mercado sintético 2025
63,3,Bucaramanga,55514,103603,Panel mercado sintético 2025
64,4,Bucaramanga,63248,175540,Panel mercado sintético 2025
65,5,Bucaramanga,123964,199527,Panel mercado sintético 2025
66,6,Bucaramanga,161917,172075,Panel mercado sintético 2025
67,7,Bucaramanga,99154,227332,Panel mercado sintético 2025
68,8,Bucaramanga,179662,475023,Panel mercado sintético 2025
69,9,Bucaramanga,113025,176099,Panel mercado sintético 2025
70,10,Bucaramanga,540000,545000,Panel mercado sintético 2025
71,11,Bucaramanga,103404,147118,Panel mercado sintético 2025
72,12,Bucaramanga,114237,186795,Panel mercado sintético 2025
73,1,Pereira,20000,114654,Panel mercado sintético 2025
74,2,Pereira,60557,125516,Panel mercado sintético 2025
75,3,Pereira,77787,94908,Panel mercado sintético 2025
76,4,Pereira,60221,157825,Panel mercado sintético 2025
77,5,Pereira,79171,210279,Panel mercado sintético 2025
78,6,Pereira,156951,206363,Panel mercado sintético 2025
79,7,Pereira,157410,219743,Panel mercado sintético 2025
80,8,Pereira,265335,412217,Panel mercado sintético 2025
81,9,Pereira,119695,189810,Panel mercado sintético 2025
82,10,Pereira,198892,302106,Panel mercado sintético 2025
83,11,Pereira,87549,174237,Panel mercado sintético 2025
84,12,Pereira,137954,219000,Panel mercado sintético 2025
85,1,Manizales,88231,97557,Panel mercado sintético 2025
86,2,Manizales,83506,113966,Panel mercado sintético 2025
87,3,Manizales,89226,112343,Panel mercado sintético 2025
88,4,Manizales,86100,138057,Panel mercado sintético 2025
89,5,Manizales,132277,176545,Panel mercado sintético 2025
90,6,Manizales,152544,258272,Panel mercado sintético 2025
91,7,Manizales,122383,252990,Panel mercado sintético 2025
92,8,Manizales,147941,359367,Panel mercado sintético 2025
93,9,Manizales,161214,173582,Panel mercado sintético 2025
94,10,Manizales,151813,423803,Panel mercado sintético 2025
95,11,Manizales,101588,360000,Panel mercado sintético 2025
96,12,Manizales,146162,210446,Panel mercado sintético 2025
97,1,Pasto,88736,121495,Panel mercado sintético 2025
98,2,Pasto,56203,110173,Panel mercado sintético 2025
99,3,Pasto,74163,107679,Panel mercado sintético 2025
100,4,Pasto,70155,162735,Panel mercado sintético 2025
101,5,Pasto,111904,177561,Panel mercado sintético 2025
102,6,Pasto,100311,187028,Panel mercado sintético 2025
103,7,Pasto,78418,210369,Panel mercado sintético 2025
104,8,Pasto,228992,412138,Panel mercado sintético 2025
105,9,Pasto,146556,169560,Panel mercado sintético 2025
106,10,Pasto,270913,303545,Panel mercado sintético 2025
107,11,Pasto,99139,186921,Panel mercado sintético 2025
108,12,Pasto,108906,187774,Panel mercado sintético 2025
109,1,Popayán,41902,135835,Panel mercado sintético 2025
110,2,Popayán,66497,122630,Panel mercado sintético 2025
111,3,Popayán,80780,117822,Panel mercado sintético 2025
112,4,Popayán,63552,188179,Panel mercado sintético 2025
113,5,Popayán,130515,201099,Panel mercado sintético 2025
114,6,Popayán,97742,211236,Panel mercado sintético 2025
115,7,Popayán,119692,222255,Panel mercado sintético 2025
116,8,Popayán,141471,443405,Panel mercado sintético 2025
117,9,Popayán,115870,175993,Panel mercado sintético 2025
118,10,Popayán,290853,295853,Panel mercado sintético 2025
119,11,Popayán,30000,134671,Panel mercado sintético 2025
120,12,Popayán,111266,166993,Panel mercado sintético 2025
