id_recomendacion,id_solicitud,id_trabajador,score_relevancia,distancia_km,motivo_top,precio_estimado,precio_propuesto,explicacion,es_asignado
1,31,10,0.26,0.2,calificacion,278930,317178,Recomendado por calificacion; exp 5 años; distancia 0.2 km; rating 3.67,False
28,26,177,0.264,1.1,tarifa,299500,276416,Recomendado por tarifa; exp 8 años; distancia 1.1 km; rating 4.28,False
29,119,78,0.211,3.07,experiencia,108446,96317,Recomendado por experiencia; exp 5 años; distancia 3.07 km; rating 3.67,False
30,84,96,0.486,4.37,tarifa,125865,79738,Recomendado por tarifa; exp 3 años; distancia 4.37 km; rating 5,False
31,89,164,0.154,0.44,experiencia,82335,34536,Recomendado por experiencia; exp 4 años; distancia 0.44 km; rating 4.77,False
32,95,123,0.571,1.01,tarifa,139325,194108,Recomendado por tarifa; exp 6 años; distancia 1.01 km; rating 4.67,False
33,166,48,0.338,3.83,tarifa,293353,329452,Recomendado por tarifa; exp 0 años; distancia 3.83 km; rating 4.81,True
34,99,209,0.371,3.49,tarifa,159316,179910,Recomendado por tarifa; exp 8 años; distancia 3.49 km; rating 4.22,True
35,108,39,0.754,4.57,tarifa,293353,388431,Recomendado por tarifa; exp 11 años; distancia 4.57 km; rating 4.84,False
36,89,37,0.761,1.86,experiencia,82335,64937,Recomendado por experiencia; exp 7 años; distancia 1.86 km; rating 5,False
37,148,119,0.514,1.36,tarifa,184088,217845,Recomendado por tarifa; exp 9 años; distancia 1.36 km; rating 4.91,False
38,14,104,0.138,0.2,tarifa,145931,173203,Recomendado por tarifa; exp 6 años; distancia 0.2 km; rating 3.89,False
39,122,100,0.219,5.98,experiencia,93036,41470,Recomendado por experiencia; exp 1 años; distancia 5.98 km; rating 5,False
40,137,173,0.208,0.77,calificacion,139129,173976,Recomendado por calificacion; exp 10 años; distancia 0.77 km; rating 4.25,False
41,152,43,0.678,4.18,tarifa,88868,127357,Recomendado por tarifa; exp 7 años; distancia 4.18 km; rating 4.68,False
42,119,83,0.369,6.9,cercania,108446,121960,Recomendado por cercania; exp 5 años; distancia 6.9 km; rating 4.17,False
43,176,123,0.41,2.97,cercania,166996,204874,Recomendado por cercania; exp 6 años; distancia 2.97 km; rating 4.67,False
44,46,89,0.444,2.77,cercania,94563,98042,Recomendado por cercania; exp 4 años; distancia 2.77 km; rating 4.92,False
45,92,28,0.21,1.03,cercania,170973,162591,Recomendado por cercania; exp 4 años; distancia 1.03 km; rating 3.95,True
46,38,154,0.323,1.22,tarifa,150516,153787,Recomendado por tarifa; exp 7 años; distancia 1.22 km; rating 3.81,False
47,63,197,0.343,2.48,cercania,147350,142888,Recomendado por cercania; exp 2 años; distancia 2.48 km; rating 3.75,True
48,164,22,0.166,1.13,calificacion,154752,228002,Recomendado por calificacion; exp 0 años; distancia 1.13 km; rating 4.21,False
49,6,42,0.576,4.47,cercania,184088,173205,Recomendado por cercania; exp 9 años; distancia 4.47 km; rating 4.16,False
50,111,68,0.892,3.7,experiencia,134051,92086,Recomendado por experiencia; exp 3 años; distancia 3.7 km; rating 4.83,False
51,13,150,0.752,1.75,calificacion,182843,168692,Recomendado por calificacion; exp 11 años; distancia 1.75 km; rating 3.81,False
52,48,78,0.384,2.39,experiencia,565792,565366,Recomendado por experiencia; exp 5 años; distancia 2.39 km; rating 3.67,False
53,70,1,0.446,2.68,experiencia,250499,257203,Recomendado por experiencia; exp 2 años; distancia 2.68 km; rating 4.2,False
54,119,102,0.691,4.17,experiencia,108446,119536,Recomendado por experiencia; exp 7 años; distancia 4.17 km; rating 5,True
55,74,190,0.528,2.11,calificacion,164500,89648,Recomendado por calificacion; exp 10 años; distancia 2.11 km; rating 3.92,False
56,122,183,0.31,4.82,tarifa,93036,94710,Recomendado por tarifa; exp 3 años; distancia 4.82 km; rating 3.65,True
57,128,36,0.376,1.8,tarifa,154752,150000,Recomendado por tarifa; exp 7 años; distancia 1.8 km; rating 3.86,True
58,147,16,0.383,1.26,experiencia,192484,147085,Recomendado por experiencia; exp 2 años; distancia 1.26 km; rating 4.54,False
59,136,86,0.386,1.89,tarifa,79204,110331,Recomendado por tarifa; exp 1 años; distancia 1.89 km; rating 3.41,True
60,160,133,0.419,3.93,cercania,293353,352491,Recomendado por cercania; exp 7 años; distancia 3.93 km; rating 3.94,False
61,73,218,0.385,2.77,experiencia,145931,35667,Recomendado por experiencia; exp 5 años; distancia 2.77 km; rating 3.74,False
62,32,13,0.239,1.91,calificacion,178304,197014,Recomendado por calificacion; exp 1 años; distancia 1.91 km; rating 4.55,True
63,41,145,0.306,1.23,calificacion,112078,104001,Recomendado por calificacion; exp 0 años; distancia 1.23 km; rating 4.71,False
64,93,142,0.668,6.27,calificacion,250499,330702,Recomendado por calificacion; exp 3 años; distancia 6.27 km; rating 3.3,False
65,137,76,0.649,3.32,calificacion,139129,174081,Recomendado por calificacion; exp 7 años; distancia 3.32 km; rating 3.73,False
66,116,39,0.386,4.11,calificacion,278930,258865,Recomendado por calificacion; exp 11 años; distancia 4.11 km; rating 4.84,False
67,168,58,0.566,2.63,tarifa,93036,83368,Recomendado por tarifa; exp 3 años; distancia 2.63 km; rating 4.26,False
68,106,101,0.25,1.18,cercania,182843,134845,Recomendado por cercania; exp 12 años; distancia 1.18 km; rating 4.72,False
69,105,5,0.54,2.31,tarifa,125999,147283,Recomendado por tarifa; exp 2 años; distancia 2.31 km; rating 4.15,False
70,95,14,0.64,2.82,experiencia,139325,67168,Recomendado por experiencia; exp 5 años; distancia 2.82 km; rating 4.47,False
71,42,97,0.206,0.23,experiencia,125999,173052,Recomendado por experiencia; exp 5 años; distancia 0.23 km; rating 4.2,False
72,76,19,0.473,4.07,experiencia,277058,248014,Recomendado por experiencia; exp 9 años; distancia 4.07 km; rating 4.4,False
73,114,107,0.471,4.55,cercania,154411,55201,Recomendado por cercania; exp 6 años; distancia 4.55 km; rating 4.22,False
74,85,89,0.269,3.1,cercania,134051,187649,Recomendado por cercania; exp 4 años; distancia 3.1 km; rating 4.92,False
75,105,209,0.37,0.76,tarifa,125999,121600,Recomendado por tarifa; exp 8 años; distancia 0.76 km; rating 4.22,False
76,138,13,0.869,2.42,cercania,184088,122638,Recomendado por cercania; exp 1 años; distancia 2.42 km; rating 4.55,False
77,16,120,0.688,4.42,cercania,154876,87577,Recomendado por cercania; exp 8 años; distancia 4.42 km; rating 4.91,False
78,131,160,0.304,2.07,calificacion,143669,151688,Recomendado por calificacion; exp 7 años; distancia 2.07 km; rating 5,False
79,149,40,0.587,2.67,experiencia,149825,114590,Recomendado por experiencia; exp 12 años; distancia 2.67 km; rating 3.84,False
80,124,36,0.62,2.84,tarifa,154438,188850,Recomendado por tarifa; exp 7 años; distancia 2.84 km; rating 3.86,False
81,126,86,0.583,3.08,calificacion,188576,145449,Recomendado por calificacion; exp 1 años; distancia 3.08 km; rating 3.41,False
82,180,59,0.609,0.56,experiencia,171848,147854,Recomendado por experiencia; exp 10 años; distancia 0.56 km; rating 3.99,False
83,7,42,0.606,4.88,calificacion,79204,61769,Recomendado por calificacion; exp 9 años; distancia 4.88 km; rating 4.16,False
84,41,97,0.309,0.87,experiencia,112078,116743,Recomendado por experiencia; exp 5 años; distancia 0.87 km; rating 4.2,True
85,75,90,0.804,2.93,calificacion,164500,194048,Recomendado por calificacion; exp 2 años; distancia 2.93 km; rating 4.76,True
86,4,79,0.731,1.43,tarifa,230794,282624,Recomendado por tarifa; exp 6 años; distancia 1.43 km; rating 4.24,False
87,44,145,0.508,1.35,calificacion,165807,122485,Recomendado por calificacion; exp 0 años; distancia 1.35 km; rating 4.71,False
88,125,74,0.507,4.58,tarifa,125865,99675,Recomendado por tarifa; exp 5 años; distancia 4.58 km; rating 4.82,True
89,17,100,0.329,3.21,cercania,111371,130068,Recomendado por cercania; exp 1 años; distancia 3.21 km; rating 5,False
90,92,186,0.773,1.27,experiencia,170973,194836,Recomendado por experiencia; exp 5 años; distancia 1.27 km; rating 4.5,False
91,94,170,0.8,5.75,cercania,79204,84896,Recomendado por cercania; exp 5 años; distancia 5.75 km; rating 4.82,False
92,137,209,0.84,2.78,cercania,139129,68625,Recomendado por cercania; exp 8 años; distancia 2.78 km; rating 4.22,False
93,134,71,0.255,3.12,experiencia,343484,496811,Recomendado por experiencia; exp 5 años; distancia 3.12 km; rating 3.76,False
94,117,30,0.435,5.65,cercania,92894,100855,Recomendado por cercania; exp 7 años; distancia 5.65 km; rating 3.73,False
95,17,45,0.334,2.3,tarifa,111371,109977,Recomendado por tarifa; exp 4 años; distancia 2.3 km; rating 4.57,False
96,138,210,0.639,3.34,experiencia,184088,144540,Recomendado por experiencia; exp 0 años; distancia 3.34 km; rating 4.69,False
97,114,57,0.518,2.09,tarifa,154411,157067,Recomendado por tarifa; exp 1 años; distancia 2.09 km; rating 3.79,False
98,3,182,0.602,0.92,tarifa,338776,417271,Recomendado por tarifa; exp 7 años; distancia 0.92 km; rating 4.13,False
99,50,149,0.454,3.95,cercania,85889,58046,Recomendado por cercania; exp 5 años; distancia 3.95 km; rating 4.17,False
100,105,136,0.345,2.63,tarifa,125999,170109,Recomendado por tarifa; exp 6 años; distancia 2.63 km; rating 3.7,False
101,166,61,0.429,2.78,calificacion,293353,383392,Recomendado por calificacion; exp 11 años; distancia 2.78 km; rating 4.59,False
102,29,48,0.844,1.25,tarifa,130893,133129,Recomendado por tarifa; exp 0 años; distancia 1.25 km; rating 4.81,False
103,46,28,0.206,3.2,tarifa,94563,59292,Recomendado por tarifa; exp 4 años; distancia 3.2 km; rating 3.95,False
104,176,205,0.284,3.58,experiencia,166996,142405,Recomendado por experiencia; exp 6 años; distancia 3.58 km; rating 4.94,False
105,129,61,0.238,1.95,calificacion,287808,367851,Recomendado por calificacion; exp 11 años; distancia 1.95 km; rating 4.59,False
106,54,149,0.273,2.17,tarifa,92894,74776,Recomendado por tarifa; exp 5 años; distancia 2.17 km; rating 4.17,False
107,41,74,0.514,1.9,tarifa,112078,142108,Recomendado por tarifa; exp 5 años; distancia 1.9 km; rating 4.82,False
108,69,84,0.719,5.06,calificacion,163243,144353,Recomendado por calificacion; exp 14 años; distancia 5.06 km; rating 4.39,False
109,79,107,0.372,2.45,calificacion,230794,123472,Recomendado por calificacion; exp 6 años; distancia 2.45 km; rating 4.22,False
110,101,143,0.1,7.74,tarifa,343484,350742,Recomendado por tarifa; exp 9 años; distancia 7.74 km; rating 3.09,False
111,36,162,0.691,3.04,experiencia,155752,148072,Recomendado por experiencia; exp 5 años; distancia 3.04 km; rating 4.62,False
112,66,124,0.479,3.22,tarifa,154411,147071,Recomendado por tarifa; exp 1 años; distancia 3.22 km; rating 4.45,False
113,144,80,0.499,3.81,calificacion,187686,125502,Recomendado por calificacion; exp 8 años; distancia 3.81 km; rating 4.81,True
114,63,74,0.689,1.96,tarifa,147350,184810,Recomendado por tarifa; exp 5 años; distancia 1.96 km; rating 4.82,False
115,12,212,0.562,0.91,experiencia,73907,103744,Recomendado por experiencia; exp 3 años; distancia 0.91 km; rating 3.75,False
116,156,211,0.637,2.35,calificacion,144732,156564,Recomendado por calificacion; exp 12 años; distancia 2.35 km; rating 4.73,False
117,113,99,0.598,3.82,calificacion,261129,283650,Recomendado por calificacion; exp 8 años; distancia 3.82 km; rating 3.35,False
118,106,82,0.517,4.88,cercania,182843,139408,Recomendado por cercania; exp 0 años; distancia 4.88 km; rating 4.27,False
119,84,217,0.449,3.12,calificacion,125865,101486,Recomendado por calificacion; exp 4 años; distancia 3.12 km; rating 3.14,False
120,36,43,0.658,5.13,calificacion,155752,111940,Recomendado por calificacion; exp 7 años; distancia 5.13 km; rating 4.68,False
121,115,58,0.466,3.9,calificacion,147798,185824,Recomendado por calificacion; exp 3 años; distancia 3.9 km; rating 4.26,False
122,67,107,0.197,0.7,tarifa,187686,121629,Recomendado por tarifa; exp 6 años; distancia 0.7 km; rating 4.22,False
123,125,38,0.777,3.35,calificacion,125865,116197,Recomendado por calificacion; exp 9 años; distancia 3.35 km; rating 3.31,True
124,112,17,0.299,6.93,tarifa,144542,126188,Recomendado por tarifa; exp 7 años; distancia 6.93 km; rating 4.47,False
125,86,15,0.828,2.75,cercania,164276,111516,Recomendado por cercania; exp 5 años; distancia 2.75 km; rating 4.04,False
126,132,29,0.469,0.99,experiencia,542500,474197,Recomendado por experiencia; exp 0 años; distancia 0.99 km; rating 3.05,False
127,176,158,0.766,3.92,experiencia,166996,124423,Recomendado por experiencia; exp 3 años; distancia 3.92 km; rating 4.26,False
128,19,79,0.506,1.91,tarifa,170973,139774,Recomendado por tarifa; exp 6 años; distancia 1.91 km; rating 4.24,False
129,103,94,0.131,6.75,experiencia,141149,143792,Recomendado por experiencia; exp 10 años; distancia 6.75 km; rating 5,False
130,39,80,0.703,4.63,tarifa,80352,59377,Recomendado por tarifa; exp 8 años; distancia 4.63 km; rating 4.81,False
131,52,208,0.53,6.77,experiencia,165807,126175,Recomendado por experiencia; exp 7 años; distancia 6.77 km; rating 3.91,False
132,38,55,0.553,2.67,cercania,150516,166712,Recomendado por cercania; exp 3 años; distancia 2.67 km; rating 4.5,False
133,139,118,0.367,4.71,experiencia,94563,88645,Recomendado por experiencia; exp 4 años; distancia 4.71 km; rating 4.6,False
134,52,125,0.282,6.18,experiencia,165807,274622,Recomendado por experiencia; exp 8 años; distancia 6.18 km; rating 4.8,False
135,7,22,0.149,6.46,tarifa,79204,46108,Recomendado por tarifa; exp 0 años; distancia 6.46 km; rating 4.21,True
136,54,90,0.288,5.05,tarifa,92894,100487,Recomendado por tarifa; exp 2 años; distancia 5.05 km; rating 4.76,False
137,32,12,0.441,5.33,cercania,178304,168126,Recomendado por cercania; exp 4 años; distancia 5.33 km; rating 3.45,True
138,54,21,0.279,6.06,calificacion,92894,79003,Recomendado por calificacion; exp 7 años; distancia 6.06 km; rating 3.62,False
139,54,13,0.355,3.58,cercania,92894,72023,Recomendado por cercania; exp 1 años; distancia 3.58 km; rating 4.55,False
140,5,6,0.734,1.48,cercania,81504,96060,Recomendado por cercania; exp 7 años; distancia 1.48 km; rating 3.46,False
141,80,18,0.313,0.55,cercania,154752,184934,Recomendado por cercania; exp 7 años; distancia 0.55 km; rating 4.32,False
142,100,113,0.497,8.14,calificacion,285022,303307,Recomendado por calificacion; exp 4 años; distancia 8.14 km; rating 3.88,True
143,64,76,0.209,2.04,tarifa,90912,86217,Recomendado por tarifa; exp 7 años; distancia 2.04 km; rating 3.73,False
144,16,81,0.351,4.96,tarifa,154876,112478,Recomendado por tarifa; exp 5 años; distancia 4.96 km; rating 3.99,False
145,108,39,0.29,4.1,experiencia,293353,372274,Recomendado por experiencia; exp 11 años; distancia 4.1 km; rating 4.84,False
146,29,46,0.396,4.33,calificacion,130893,135033,Recomendado por calificacion; exp 1 años; distancia 4.33 km; rating 4.04,False
147,68,206,0.417,1.49,tarifa,111371,155286,Recomendado por tarifa; exp 4 años; distancia 1.49 km; rating 5,True
148,37,135,0.556,4.86,experiencia,73907,79084,Recomendado por experiencia; exp 0 años; distancia 4.86 km; rating 4.54,True
149,4,115,0.802,3.7,cercania,230794,215523,Recomendado por cercania; exp 8 años; distancia 3.7 km; rating 3.76,False
150,119,138,0.22,4.53,cercania,108446,82019,Recomendado por cercania; exp 12 años; distancia 4.53 km; rating 4.27,False
151,121,43,0.399,5.03,cercania,105115,132815,Recomendado por cercania; exp 7 años; distancia 5.03 km; rating 4.68,False
152,147,65,0.732,4.69,experiencia,192484,233616,Recomendado por experiencia; exp 6 años; distancia 4.69 km; rating 4.86,False
153,22,37,0.651,2.67,experiencia,125261,100292,Recomendado por experiencia; exp 7 años; distancia 2.67 km; rating 5,False
154,48,201,0.409,2.01,calificacion,565792,777112,Recomendado por calificacion; exp 0 años; distancia 2.01 km; rating 3.57,False
155,34,103,0.474,0.4,cercania,112078,131477,Recomendado por cercania; exp 1 años; distancia 0.4 km; rating 3.96,False
156,99,207,0.255,4.27,experiencia,159316,167175,Recomendado por experiencia; exp 7 años; distancia 4.27 km; rating 4.2,False
157,61,54,0.506,2.76,calificacion,159316,163009,Recomendado por calificacion; exp 10 años; distancia 2.76 km; rating 4.33,False
158,148,76,0.523,1.67,tarifa,184088,193575,Recomendado por tarifa; exp 7 años; distancia 1.67 km; rating 3.73,True
159,72,142,0.314,3.53,experiencia,250499,109326,Recomendado por experiencia; exp 3 años; distancia 3.53 km; rating 3.3,False
160,125,220,0.803,2.13,calificacion,125865,129707,Recomendado por calificacion; exp 9 años; distancia 2.13 km; rating 5,True
161,94,99,0.104,0.24,experiencia,79204,39273,Recomendado por experiencia; exp 8 años; distancia 0.24 km; rating 3.35,False
162,29,40,0.701,1.41,calificacion,130893,122349,Recomendado por calificacion; exp 12 años; distancia 1.41 km; rating 3.84,False
163,142,19,0.153,8.22,experiencia,289732,249079,Recomendado por experiencia; exp 9 años; distancia 8.22 km; rating 4.4,True
164,175,84,0.696,3.22,experiencia,187686,156869,Recomendado por experiencia; exp 14 años; distancia 3.22 km; rating 4.39,False
165,136,135,0.5,5.36,experiencia,79204,86316,Recomendado por experiencia; exp 0 años; distancia 5.36 km; rating 4.54,False
166,26,89,0.303,0.38,experiencia,299500,188397,Recomendado por experiencia; exp 4 años; distancia 0.38 km; rating 4.92,False
167,157,85,0.78,4.02,tarifa,178477,150458,Recomendado por tarifa; exp 15 años; distancia 4.02 km; rating 3.87,False
168,134,143,0.12,4.76,calificacion,343484,283753,Recomendado por calificacion; exp 9 años; distancia 4.76 km; rating 3.09,True
169,65,193,0.595,2.33,cercania,299500,254894,Recomendado por cercania; exp 5 años; distancia 2.33 km; rating 3.4,True
170,106,77,0.649,5.3,experiencia,182843,249599,Recomendado por experiencia; exp 16 años; distancia 5.3 km; rating 4.41,False
171,41,172,0.678,1.98,cercania,112078,123697,Recomendado por cercania; exp 0 años; distancia 1.98 km; rating 3.68,False
172,71,25,0.637,3.8,experiencia,144562,132973,Recomendado por experiencia; exp 2 años; distancia 3.8 km; rating 3.91,False
173,37,87,0.223,3.02,calificacion,73907,71194,Recomendado por calificacion; exp 2 años; distancia 3.02 km; rating 3.89,False
174,161,141,0.279,0.2,cercania,287808,306899,Recomendado por cercania; exp 6 años; distancia 0.2 km; rating 4.05,False
175,157,97,0.624,5.34,calificacion,178477,254072,Recomendado por calificacion; exp 5 años; distancia 5.34 km; rating 4.2,False
176,11,90,0.625,3.81,tarifa,105115,87936,Recomendado por tarifa; exp 2 años; distancia 3.81 km; rating 4.76,False
177,178,206,0.3,3.08,calificacion,154438,126935,Recomendado por calificacion; exp 4 años; distancia 3.08 km; rating 5,False
178,171,166,0.433,5.66,cercania,111371,50165,Recomendado por cercania; exp 5 años; distancia 5.66 km; rating 4.84,False
179,72,215,0.35,2.74,calificacion,250499,200849,Recomendado por calificacion; exp 10 años; distancia 2.74 km; rating 4.4,False
180,65,145,0.747,3.8,experiencia,299500,316742,Recomendado por experiencia; exp 0 años; distancia 3.8 km; rating 4.71,False
181,57,154,0.667,2.53,tarifa,145931,131182,Recomendado por tarifa; exp 7 años; distancia 2.53 km; rating 3.81,False
182,145,131,0.606,0.2,cercania,125261,85951,Recomendado por cercania; exp 2 años; distancia 0.2 km; rating 4.91,False
183,152,205,0.588,4.34,cercania,88868,35777,Recomendado por cercania; exp 6 años; distancia 4.34 km; rating 4.94,False
184,62,127,0.553,0.25,tarifa,86347,69976,Recomendado por tarifa; exp 9 años; distancia 0.25 km; rating 4.79,False
185,11,86,0.386,1.7,cercania,105115,82520,Recomendado por cercania; exp 1 años; distancia 1.7 km; rating 3.41,False
186,161,177,0.175,3.51,experiencia,287808,182411,Recomendado por experiencia; exp 8 años; distancia 3.51 km; rating 4.28,True
187,85,67,0.234,2.46,tarifa,134051,167384,Recomendado por tarifa; exp 5 años; distancia 2.46 km; rating 5,False
188,65,145,0.866,3.76,experiencia,299500,236986,Recomendado por experiencia; exp 0 años; distancia 3.76 km; rating 4.71,False
189,13,129,0.383,2.93,experiencia,182843,219255,Recomendado por experiencia; exp 1 años; distancia 2.93 km; rating 4.63,False
190,141,154,0.352,2.12,experiencia,178477,219142,Recomendado por experiencia; exp 7 años; distancia 2.12 km; rating 3.81,False
191,23,62,0.724,1.52,experiencia,250499,312959,Recomendado por experiencia; exp 7 años; distancia 1.52 km; rating 4.69,False
192,79,37,0.492,3.75,tarifa,230794,217893,Recomendado por tarifa; exp 7 años; distancia 3.75 km; rating 5,False
193,98,55,0.427,2.71,tarifa,154552,214869,Recomendado por tarifa; exp 3 años; distancia 2.71 km; rating 4.5,False
194,41,74,0.61,2.57,calificacion,112078,124302,Recomendado por calificacion; exp 5 años; distancia 2.57 km; rating 4.82,False
195,138,42,0.228,0.53,cercania,184088,226540,Recomendado por cercania; exp 9 años; distancia 0.53 km; rating 4.16,False
196,170,142,0.312,3.67,calificacion,154752,137361,Recomendado por calificacion; exp 3 años; distancia 3.67 km; rating 3.3,False
197,99,38,0.653,4.84,calificacion,159316,105533,Recomendado por calificacion; exp 9 años; distancia 4.84 km; rating 3.31,False
198,22,102,0.194,5.16,experiencia,125261,125141,Recomendado por experiencia; exp 7 años; distancia 5.16 km; rating 5,False
199,71,4,0.729,0.78,experiencia,144562,146928,Recomendado por experiencia; exp 9 años; distancia 0.78 km; rating 3.47,False
200,113,196,0.314,3.42,cercania,261129,227236,Recomendado por cercania; exp 10 años; distancia 3.42 km; rating 3.61,False
201,124,163,0.508,0.82,tarifa,154438,179442,Recomendado por tarifa; exp 12 años; distancia 0.82 km; rating 4.32,False
202,133,130,0.766,0.89,tarifa,184088,219615,Recomendado por tarifa; exp 9 años; distancia 0.89 km; rating 4.6,False
203,94,199,0.465,3.68,experiencia,79204,59267,Recomendado por experiencia; exp 7 años; distancia 3.68 km; rating 5,False
204,92,43,0.775,4.04,experiencia,170973,164993,Recomendado por experiencia; exp 7 años; distancia 4.04 km; rating 4.68,False
205,149,41,0.715,6.67,tarifa,149825,197554,Recomendado por tarifa; exp 3 años; distancia 6.67 km; rating 3.82,False
206,27,201,0.34,3.66,experiencia,178477,150008,Recomendado por experiencia; exp 0 años; distancia 3.66 km; rating 3.57,False
207,148,204,0.499,5.62,tarifa,184088,205058,Recomendado por tarifa; exp 5 años; distancia 5.62 km; rating 5,True
208,44,15,0.122,0.62,calificacion,165807,146293,Recomendado por calificacion; exp 5 años; distancia 0.62 km; rating 4.04,False
209,38,12,0.6,2.7,calificacion,150516,137918,Recomendado por calificacion; exp 4 años; distancia 2.7 km; rating 3.45,False
210,8,180,0.159,0.2,tarifa,149148,175842,Recomendado por tarifa; exp 2 años; distancia 0.2 km; rating 3.99,False
211,116,61,0.345,0.2,tarifa,278930,253963,Recomendado por tarifa; exp 11 años; distancia 0.2 km; rating 4.59,True
212,139,187,0.628,2.91,calificacion,94563,97096,Recomendado por calificacion; exp 6 años; distancia 2.91 km; rating 4.68,False
213,19,43,0.633,0.2,experiencia,170973,158102,Recomendado por experiencia; exp 7 años; distancia 0.2 km; rating 4.68,False
214,46,58,0.545,7.52,calificacion,94563,104575,Recomendado por calificacion; exp 3 años; distancia 7.52 km; rating 4.26,True
215,104,130,0.734,2.08,tarifa,178304,113712,Recomendado por tarifa; exp 9 años; distancia 2.08 km; rating 4.6,False
216,36,137,0.279,3.71,tarifa,155752,186437,Recomendado por tarifa; exp 7 años; distancia 3.71 km; rating 4.33,False
217,128,20,0.334,3.81,cercania,154752,190681,Recomendado por cercania; exp 2 años; distancia 3.81 km; rating 4.62,False
218,25,166,0.254,2.8,cercania,343484,519861,Recomendado por cercania; exp 5 años; distancia 2.8 km; rating 4.84,False
219,25,51,0.1,8.8,calificacion,343484,346190,Recomendado por calificacion; exp 0 años; distancia 8.8 km; rating 3.77,False
220,8,214,0.783,0.65,experiencia,149148,120515,Recomendado por experiencia; exp 2 años; distancia 0.65 km; rating 4.43,False
221,128,31,0.269,2.32,experiencia,154752,131592,Recomendado por experiencia; exp 12 años; distancia 2.32 km; rating 4.9,False
222,147,60,0.773,5.43,experiencia,192484,144990,Recomendado por experiencia; exp 3 años; distancia 5.43 km; rating 5,False
223,114,15,0.696,0.37,cercania,154411,91718,Recomendado por cercania; exp 5 años; distancia 0.37 km; rating 4.04,False
224,80,94,0.572,5.36,experiencia,154752,191499,Recomendado por experiencia; exp 10 años; distancia 5.36 km; rating 5,False
