id_alerta,id_solicitud,id_recomendacion,tipo_alerta,severidad,detalle,fecha
24,,474,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 474,2025-05-20
25,,329,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre recomendación 329,2025-06-29
26,,616,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre recomendación 616,2025-06-09
27,139,,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre solicitud 139,2025-06-21
28,,481,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre recomendación 481,2025-10-02
29,,66,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 66,2025-06-09
30,150,,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre solicitud 150,2025-10-17
31,,289,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre recomendación 289,2025-06-28
32,64,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 64,2025-08-26
33,20,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 20,2025-06-10
34,13,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 13,2025-05-24
35,179,,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre solicitud 179,2025-07-21
36,,629,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre recomendación 629,2025-05-06
37,,497,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre recomendación 497,2025-07-07
38,,613,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre recomendación 613,2025-06-01
39,,633,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre recomendación 633,2025-06-27
40,29,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 29,2025-08-28
41,127,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 127,2025-08-01
42,47,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 47,2025-06-04
43,29,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 29,2025-07-29
44,67,,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre solicitud 67,2025-09-22
45,,2,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre recomendación 2,2025-10-18
46,,302,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre recomendación 302,2025-07-10
47,133,,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre solicitud 133,2025-08-29
48,,13,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre recomendación 13,2025-07-02
49,96,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 96,2025-09-28
50,,74,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 74,2025-09-27
51,66,,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre solicitud 66,2025-09-30
52,169,,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre solicitud 169,2025-06-16
53,60,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 60,2025-07-01
54,44,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 44,2025-06-03
55,21,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 21,2025-08-04
56,155,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 155,2025-05-28
57,41,,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre solicitud 41,2025-06-01
58,106,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 106,2025-06-18
59,171,,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre solicitud 171,2025-10-20
60,119,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 119,2025-10-12
61,160,,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre solicitud 160,2025-07-08
62,20,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 20,2025-07-18
63,166,,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre solicitud 166,2025-10-12
64,28,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 28,2025-06-20
65,147,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 147,2025-09-07
66,165,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 165,2025-05-15
67,,178,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre recomendación 178,2025-05-13
68,29,,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre solicitud 29,2025-07-28
69,138,,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre solicitud 138,2025-08-29
70,150,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 150,2025-05-22
71,15,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 15,2025-08-01
72,,1,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre recomendación 1,2025-05-04
73,,510,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre recomendación 510,2025-08-15
74,81,,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre solicitud 81,2025-09-04
75,,289,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre recomendación 289,2025-08-04
76,34,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 34,2025-06-18
77,37,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 37,2025-08-13
78,5,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 5,2025-07-11
79,157,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 157,2025-06-27
80,125,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 125,2025-09-01
81,158,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 158,2025-08-16
82,,628,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 628,2025-07-04
83,42,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 42,2025-09-02
84,,21,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre recomendación 21,2025-05-08
85,177,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 177,2025-06-06
86,51,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 51,2025-06-04
87,49,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 49,2025-05-18
88,46,,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre solicitud 46,2025-07-02
89,1,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 1,2025-07-23
90,,631,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre recomendación 631,2025-06-06
91,116,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 116,2025-08-03
92,118,,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre solicitud 118,2025-08-13
93,,212,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre recomendación 212,2025-08-30
94,,209,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 209,2025-06-17
95,87,,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre solicitud 87,2025-10-03
96,,413,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre recomendación 413,2025-06-08
97,142,,TEXTO_RIESGO,BAJA,TEXTO_RIESGO sobre solicitud 142,2025-07-11
98,170,,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre solicitud 170,2025-08-31
99,,157,PRECIO_ANOMALO,BAJA,PRECIO_ANOMALO sobre recomendación 157,2025-05-19
100,,230,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre recomendación 230,2025-07-22
101,,65,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 65,2025-09-06
102,,21,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 21,2025-08-05
103,12,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 12,2025-08-10
104,,172,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre recomendación 172,2025-04-25
105,168,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 168,2025-07-01
106,156,,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre solicitud 156,2025-08-15
107,,114,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre recomendación 114,2025-07-23
108,,253,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre recomendación 253,2025-09-09
109,,183,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre recomendación 183,2025-10-13
110,101,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 101,2025-07-29
111,44,,UBICACION_INCONSISTENTE,MEDIA,UBICACION_INCONSISTENTE sobre solicitud 44,2025-09-27
112,115,,UBICACION_INCONSISTENTE,BAJA,UBICACION_INCONSISTENTE sobre solicitud 115,2025-06-15
113,42,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 42,2025-07-20
114,112,,PRECIO_ANOMALO,ALTA,PRECIO_ANOMALO sobre solicitud 112,2025-10-01
115,,140,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre recomendación 140,2025-09-19
116,122,,PRECIO_ANOMALO,MEDIA,PRECIO_ANOMALO sobre solicitud 122,2025-05-30
117,78,,TEXTO_RIESGO,MEDIA,TEXTO_RIESGO sobre solicitud 78,2025-05-10
118,6,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 6,2025-09-14
119,176,,UBICACION_INCONSISTENTE,ALTA,UBICACION_INCONSISTENTE sobre solicitud 176,2025-10-15
120,159,,TEXTO_RIESGO,ALTA,TEXTO_RIESGO sobre solicitud 159,2025-09-17
